,subject,rule_description,rule_followed,rule_x,rule_identify,rule_y,worry,open_feedback_sess3
13,5pgqs0v0feqyejp,"{'Q0': 'Usually, the dies that screamed were dies with thicker lobes. Thet normal, not distorted. The only relationships I was able to see were just those thicker lobes.'}",{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'No.'}
14,7pjw0pz87exlgmd,{'Q0': 'more more spiky a flower the higher an occurrence of a scream'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': ''}
15,v2rgepeoz23lhyb,"{'Q0': 'A change in the shape of the flower petals, they became somewhat sharper. But sometimes it was the other way around...'}",{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'Interesting study.'}
16,djb1vpwld9c7hmk,"{'Q0': 'The closer the shape approaches between the middle of thin and thick, the more likely it is going to scream'}",{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
17,8le0rzndxgpur8r,{'Q0': 'specific shape screams '},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
18,n56opcxqwcyuk97,{'Q0': 'The shape of the flowers was the same pettle every time a scream came. Medium size pettles.'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'Thanks for the opportunity.'}
19,2usnf1r3h88bett,{'Q0': 'I think no relationship. Some species were more violent depending on a COLOR.'},{'Rule': 'Yes'},lin_l,{'Identify': 'It is equally likely for all the space flowers above to scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'No'}
20,3jrram86yd3uhgb,{'Q0': 'The more it looked like the flower it screamed the more it would be probable to scream'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'The attention tests are really difficult to go by'}
21,qeaducsgetncgeb,{'Q0': 'If the flower was the right shape of the super space flower (an average size between spiked and round) it had a variable probability of screaming'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
22,hvawyrkxreuq7d8,{'Q0': 'I think the more sharpern petals were they were more likely to scream'},{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
23,jk1c41xga9cmsrf,{'Q0': 'The more rounder the shape was the less likely they were to scream'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': '-'}
24,1tq0jt4dd31u8lq,"{'Q0': ""There was one specific shape that would occasionally scream.  I wasn't sure whether flowers of similar shapes would also scream because I was not given that explicit information, so I reasoned that the closer in shape a flower was to that one, the more odds were that it would be genetically similar and might scream as well, but never at higher odds than the specific shape I was warned about.""}",{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'No'}
25,r018cukle69r1bf,{'Q0': 'the smoother the shape the smaller the scream and vice versa'},{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'no'}
26,uaf4fed1xj02ps4,"{'Q0': 'The more pointed the flower, the more it screamed '}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
27,swmufx7egboodpe,"{'Q0': 'Which is more similar to the main shape, those are near by the percentage.'}",{'Rule': 'No'},lin_l,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': ''}
28,qw7q50m2o58ugvl,{'Q0': 'I think it had to do with the tips of the petals'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
29,fqnkabfbs65dy5r,"{'Q0': 'The more spikey the shape, the more likely it was to scream, where if it was more of a rounded flower, it would be less likely to scream'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'No'}
30,ws44qtt9xen2xsl,"{'Q0': 'more spike ,more scream'}",{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
31,t53tjn7r8ydtmtq,{'Q0': 'I think the more rounded the flower the less likely it was to scream'},{'Rule': 'No'},gauss,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},gauss,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
32,qreecv8wv03uqw8,{'Q0': 'The presence of spikes on the flowers indicate the possibility of scream occurrence. The sharper the spike on the tip of the flower the higher the probability of scream and vice versa'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'None. Everything went well'}
33,rf8fvjnsk6r07uc,{'Q0': 'the sharper the shape the more screams'},{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': ''}
34,9ho9tv1b4jdy3p6,"{'Q0': 'In my eyes it was different on some planets, sometimes the more round flowers would scream more, sometimes the more pointy ones.'}",{'Rule': 'No'},lin_l,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very round one'}",{'Q0': ''}
35,lucnd0k3f5h8ez4,"{'Q0': 'The more pointy the petal the higher occurence of screams, but color was the determining factor of how high the occernce is'}",{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': 'Thanks for the fun study'}
36,kp5boe0z4uwwu7r,{'Q0': 'The more sharper the less occurrence of scream'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
37,cl4vc26ycu0woo2,"{'Q0': 'It was the same shape flower, but a different chance of scream depending on the colour'}",{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},"{'Q0': 'Thankyou, very interesting study'}"
38,kug2nygmmndpth5,{'Q0': 'the spikier they were the more they screamed :)'},{'Rule': 'Yes'},mix,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},mix,"{'Rule': 'Yes, the very spikey one'}","{'Q0': 'Great study! so much fun, thanks so much'}"
39,5jwar0bvwr53h40,"{'Q0': 'I chose the median shape as the template for comparison, and then I also based the probability of the scream on the amount of times the flower screamed at me. The percentage I calculated from hearing the screams is the ""cap"" on how likely it is for a flower to scream at you. If the flower shown resembled the median shape, the likelihood of the flower screaming at you would approach the ""cap'}",{'Rule': 'Yes'},mix,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},mix,{'Rule': 'No'},{'Q0': ''}
40,unp160hltucmgwb,"{'Q0': ""For the shape, I'm really not sure...there wasnt enough variety between the two test flowers to make a determination""}",{'Rule': 'No'},lin_l,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},"{'Q0': ""interesting final question, but i guess i hadn't necessarily thought of that""}"
41,pjp6ertnjw1vb6j,"{'Q0': 'generally, when they are more rounded is it more likely the will not scream at you'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}","{'Q0': 'I still do not get the ""moody"" part of the experiment'}"
42,96deaxjjts0yvax,"{'Q0': 'More similar to the base example, the closer it is to its percentage'}",{'Rule': 'No'},non,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},non,{'Rule': 'No'},{'Q0': ''}
43,hjgqzm1pq2mo1u7,{'Q0': 'sharper shapes had more scream'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'no'}
44,u22e26jm4cy25av,{'Q0': 'the more distinct the more occurrence i suppose '},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'take care'}
45,zdzld8scpb2ydmo,"{'Q0': 'Thank you, it was very interesting study!Best regards'}",{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
46,vnoz56ecccya7hk,{'Q0': ''},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
47,m8fuvpkggx3r7sw,{'Q0': 'it depended on the color of flower'},{'Rule': 'No'},mix,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},mix,{'Rule': 'No'},{'Q0': 'no'}
48,lnhuzvcq72odm0l,"{'Q0': 'The thicker the shape of the flower, the more likely to scream/bite.'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very round one'}",{'Q0': ''}
49,bx1xq7e3jhb986v,"{'Q0': 'If the shap was ""middle-shape"" it like to medium scream, when it  transfroms to the ball it screams on 100%'}",{'Rule': 'No'},mix,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},mix,{'Rule': 'No'},{'Q0': 'no'}
50,g35rvb9r3l07tgx,{'Q0': 'The closer the shape was to the one tha was showcased the higher the chance of a scream'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'All went well'}
51,hd4d44n06f6cawh,{'Q0': 'I think that rounder flowers were more likely to scream'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'no'}
52,tk2emgkdo0xmkfn,{'Q0': 'the relationship between the shapes of the flowers was they all had  five petals'},{'Rule': 'No'},lin_l,{'Identify': 'It is equally likely for all the space flowers above to scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}","{'Q0': 'the experiment was very fun, thank you'}"
53,u5kwzdtotz39jwp,{'Q0': 'the more full and rounded the flower petals were the more likely the scream would occur.  '},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'no'}
54,s7enbyv4of56b3e,"{'Q0': 'I just counted the number of screams during the testing phase and then, applied it when I saw the dangerous super flower. The shape of the super flower was the same for the 3 (or even 6?) planets, so I had to memorise it when it appeared during the exploration phase.'}",{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},"{'Q0': 'No, was fun to do!'}"
55,p2v49387cgj37sn,"{'Q0': 'The pointier the flower, the more likely to scream.'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
56,ggkxy092ul5l6n0,"{'Q0': 'I have a feeling, that all superflowers had the same shape or pretty similar at least. The only difference was frequency of the scream, some screamed at me at ~83% rate, some at 25% and some at 50%'}",{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
57,c2se350v0tr4hzv,"{'Q0': 'two colors had 25% frequency, two had 50% and two had 75% in midsize flowers.'}",{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'Have a nice day! It was a pleasure to take part in ur experiment.'}
58,bdov3ye1qvundbp,"{'Q0': 'The pointy the petals of the flower , the likely it screams.'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'It was just nice taking part in the experiment. Till next time. Keep well.'}
59,ryf84f70g5thl4l,"{'Q0': 'screams occured on flowers whose petals are sort of the same shape, but the tendency for scream to occur differ from planet to planet'}",{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'No'}
60,x0nfe7hwu2yt5az,{'Q0': 'Sometimes with that same leaf shape there was shouting and sometimes not. The variance of the amount of those screams depended on the color of the planet.'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'No.'}
61,hm4cdxlz8t0281v,{'Q0': 'So I think it depended on the planet because on some of them relatively small flowers scremed very frequently and on some of them they screamed very rarely.'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': '-'}
62,q4o2n439h3o4hux,"{'Q0': 'Flowers with narrow petals were more likely to scream at me. The width of the petals correlated with the probability. The wider the petals, the lower the probability to scream.'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
63,nrv57g0kvh6lz31,"{'Q0': 'The more squat and rounder the shape the more likely the flower was to scream, brighter colours perhaps had a higher likelihood of screaming.'}",{'Rule': 'No'},mix,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},mix,"{'Rule': 'Yes, the very round one'}",{'Q0': ''}
64,k3j8o90rkvw7tal,{'Q0': 'I think that if the shape was more like circle it has a large chane to scream than in the small one'},{'Rule': 'Yes'},lin_l,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': 'no'}
65,fq39wkqs1solhdu,"{'Q0': 'The was not much of a relationship, the occurrence of a scream was just random'}",{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'No'}
66,3t9q259awsqqnjn,"{'Q0': 'the more spiky the flower, the less likely it wa to scream. the more cylindrical the flower was, the more it was likely to scream'}",{'Rule': 'No'},lin_l,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very round one'}",{'Q0': ''}
67,x0ztn8ulz4wsjnf,"{'Q0': 'Flowers with shorter, rounded petals make less scream compared to those with longer, delicate petals'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
68,re53t0m5rdemzxb,{'Q0': 'NA'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'NA'}
69,dvywvnh6comawyk,"{'Q0': 'The less emaciated the shape was, the greater the chance to scream was'}",{'Rule': 'No'},gauss,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'The study was lots of fun'}
70,gs1p8zvs22f3u03,"{'Q0': ""I found that the sharper the plant, the higher probability it will scream, at least, that's what I thought.""}",{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': 'Thanks for the opportunity and hoping I get compensated for all three sessions soon! Thanks for the opportunity again... '}
71,p2sp49zl9919q87,{'Q0': 'I believe that the occurrence was the sharpest the shape of the flower was the most propable it was to scream.'},{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'interesting study'}
72,2mzs709cn5dlwj2,{'Q0': 'I think if the shape which more looks like the original shape have the same percentage with the original shape.'},{'Rule': 'No'},non,{'Identify': 'It is equally likely for all the space flowers above to scream at you.'},non,{'Rule': 'No'},{'Q0': ''}
73,p0ptwsbjrbx9q9b,"{'Q0': 'The scream and the shape of the flower for all the colors seemed to have a consistent shape. It was roughly about a 50/50 mix of pointy and rounded petals. The more pointy or rounded the petals, the more different it was from the screaming flower, and thus the less likely that I thought it would be to scream.'}",{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
74,57znvber9kc1tnj,{'Q0': 'average shape flower scream more rather then more round or more sharp shape.'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'no'}
75,mmjryby874fs60o,{'Q0': 'The more round shaped the less occurence of screams'},{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very round one'}",{'Q0': 'no'}
76,9jfa3uck1pm1a27,{'Q0': 'the length and thickness of petals'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
77,5o4n9abwu4u5bb5,"{'Q0': 'a particular type of flower was indeed a ""special"" one, this flowesr had  a certain probability of screaming that was different for each planet'}",{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
78,hd9k76vgdu5mql0,{'Q0': 'The flowers that had significant spikes had screams more than half of the time'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'Not really. But it was a gtea'}
79,ug2w7q3f6pgxf6e,"{'Q0': 'the more pointed the shape, the more often the plant screamed'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'no'}
80,8epzoljwn0gbtge,{'Q0': 'ok'},{'Rule': 'Yes'},lin_l,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very round one'}",{'Q0': 'ok'}
81,ghbypuj01msjo4h,{'Q0': 'I felt like the screaming occured when the petals of the flower were shorter in comparishon to the whole body but it was really hard to tell and im still not sure about it'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'I had fun and i hope i really helped with the research'}
82,fehlcunq37bd57x,{'Q0': 'The shapes were the same unless they looked the same to me. One shape always had a scream'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'No'}
83,rn0an20lmaomk57,{'Q0': ''},{'Rule': 'No'},lin_l,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': ''}
84,jdewbyn3agn01fj,{'Q0': 'I feel like there was no relationship and on different planets there were just different rules. '},{'Rule': 'Yes'},mix,{'Identify': 'It is equally likely for all the space flowers above to scream at you.'},mix,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
85,dtua0nm03dd9yb7,"{'Q0': 'The more spiky the flower was, the more possible for it to scream'}",{'Rule': 'No'},gauss,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
86,9h1m4d4lp6ksfjt,{'Q0': 'The sharper the edges the more likely the flower was going to scream and the more rounded it was the less likely it was to scream'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'Not at this moment'}
87,b3jqszmpuje1kzj,"{'Q0': 'As there was not too many information about the type of flower that sceams, at the beginning seemed that flowers less spiky seemed to scream more so finally I accepted that it was for all planets as there was no more information as the two examples used to learn which flowers screemed seemed the same shape, so I could not compare them'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very round one'}","{'Q0': 'not really, thank you'}"
88,np2r7s44c0nxgg5,{'Q0': 'if it was more similar to the shape when the screaming observation was the more likely to scream'},{'Rule': 'Yes'},lin_l,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': 'It was a great experiment.'}
